name,author,language,price,ratings,stars,pages
Steal Like An Artist: 10 Things Nobody Told You About Being Creative (Austin Kleon),Austin Kleon,English,1,"8,734",4.5,160
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,English,7,"13,891",4.5,536
NVS MASTER Practice set,,Hindi,1,79,3.9,345
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,English,38,"3,326",4.5,64
Black Holes: The Reith Lectures,Stephen Hawking,English,10,"5,243",4.5,80
AAI (Airports Authority of India) : Junior Executive - 12 Solved Papers By GKP,,English,9,10,4.5,460
Motivation- Colouring Book for Adults: Adult Colouring Book for Peace & Relaxation,Dreamland Publications,English,5,"1,953",4.5,32
"Nature, Garden and Forest: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book)",Wonder House Books,English,50,"1,805",4.5,64
Show Your Work!: 10 Ways To Share Your Creativity And Get Discovered (Austin Kleon),Austin Kleon,English,1,"5,528",4.5,224
Refreshing Mandala- Colouring Book for Adults Book 1,,English,1,"6,733",4.6,64
Sangeeta Bala Padam Part - 1 (Hardcover) - English,GIRI,English,2,74,4.8,104
A Princess Remembers: Memoirs of the Maharani of Jaipur,,English,2,568,4.5,418
The Arts of Seduction: The 21st century guide to having the greatest sex of your life,Seema Anand,English,4,508,4.4,208
Majestic Animals: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,English,1,"1,212",4.6,64
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,English,₹313.95,"26,300",4.4,336
Patterns - Creative Doodle Colouring Book for Beginners and Adults,Dreamland Publications,English,1,"2,349",4.5,64
I CAME UPON A LIGHTHOUSE: A Short Memoir of Life with Ratan Tata,Shantanu Naidu,English,1,"1,488",4.7,232
"Satyajit Ray Miscellany: On Life, Cinema, People & Much More (The Penguin Ray Library)",,English,31,6,5.0,272
Cityscape- Colouring Book for Adults,,English,5,267,4.4,32
Short Tricks in Mathematics for IIT JEE Main & Advanced 2021-22 By Career Point Kota,,English,3,565,4.1,326
"Colouring Books Collections for Early Learning by InIkao(english) : Pack of 8 Copy Coloring Books on alphabets, numbers, colors, shapes, toys and rhymes",,English,1,"2,234",4.4,16
,,English,1,907,4.6,0
"From Drawing to Painting: Poussin, Watteau, Fragonard, David, and Ingres (The A. W. Mellon Lectures in the Fine Arts, 36)",Pierre Rosenberg,English,1,5,4.4,280
Zen Sangam Mandala Young Adults Colouring Book : Experts (Level 5),,English,1,"1,257",4.4,0
Study Guide for B.Arch 2022,Arihant Experts,English,20,50,4.4,503
Music manuscript book- 12 Stave : 32 pages,,English,1,123,4.4,0
Electronic Keyboard 2019-2022. Initial: And Technical Work - Initial Grade,Trinity College London,English,13,478,4.5,16
वपुर्झा / VAPURZA: Leccion inagural del curso academico 1994-1995 (Marathi Edition),V. P. KALE,Marathi,₹118.12,519,4.6,266
The Complete MAUS,Art Spiegelman,English,5,"8,098",4.8,296
Big Panda and Tiny Dragon: The beautifully illustrated Sunday Times bestseller about friendship and hope 2021,James Norbury,English,30,"2,257",4.8,160
