name,author,language,price,ratings,stars,pages
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,English,3,"57,557",4.5,220
Harry Potter and the Philosopher's Stone,J.K. Rowling,English,₹119.00,"6,809",4.7,345
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",,English,14,"14,798",4.6,176
உன்மத்தம் ஆகுதடி கிளியே!! (Tamil Edition),,Tamil,₹449.00,18,4.3,890
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),,English,1,"19,273",4.4,48
CBSE All In One Social Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),,English,30,29,4.0,469
CBSE All In One Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),,English,30,258,4.4,560
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,English,10,"4,523",4.4,80
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,English,1,"3,269",4.5,84
Brain Activity Book for Kids - 200+ Activities for Age 3+,,English,7,992,4.5,48
The Blue Umbrella,Ruskin Bond,English,3,"11,820",4.5,90
"2022 UPDATED Sank Magic Practice Copybook, (4 BOOK + 1 PEN + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic calligraphy books for kids Reusable Writing Tool (19*13 cm)",,English,2,817,4.7,16
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,English,66,"9,439",4.3,64
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Frances Hodgson Burnett,English,14,"4,363",4.4,936
Picture Books Collection for Early Learning (Set of 12),,English,1,"15,714",4.3,96
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,,English,1,"4,885",4.3,160
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,English,22,"1,778",4.4,32
Wren And Martin -high School English Grammar,"Rao N,D,V,Prasada",English,12,"9,487",4.5,384
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us.",Wonder House Books,English,2,"6,101",4.5,96
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",,English,15,"8,596",4.3,192
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Murty for ages 8–12: ... fiction novel by Sudha Murty for ages 8–12",,English,13,"6,539",4.7,164
CBSE All In One English Language & Literature Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),,English,30,3,5.0,530
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,,English,38,"5,073",4.4,0
108 Panchatantra Stories (Illustrated) for children,Maple Press,English,12,"1,782",4.4,56
Baby Touch: Playbook,Ladybird,English,5,"3,397",4.6,12
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,,English,1,"6,170",4.2,16
101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,English,15,"4,424",4.4,112
"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 2 pen +2 grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",,English,1,252,4.6,16
101 Panchatantra Stories for Children: Colourful Illustrated Stories,,English,1,"6,693",4.5,64
CBSE All In One Social Science Class 9 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),,English,20,9,4.0,480
