name,author,language,price,ratings,stars,pages
TINKLE DIGEST 1,,English,₹55.65,207,4.2,97
Mahabharata,,English,₹29.12,699,4.4,32
Chanakya,,English,₹32.76,525,4.6,32
TINKLE DOUBLE DIGEST 3,,English,₹94.50,122,4.4,177
TINKLE DOUBLE DIGEST 2,,English,₹94.50,83,4.6,176
Suppandi Volume 8—Employee of the Year,Rajani Thindiath,English,₹29.00,250,4.3,73
SUPPANDI (VOL 2) : TINKLE COLLECTION (SUPPANDI : TINKLE COLLECTION),,English,₹98.70,679,4.4,96
CHACHA CHAUDHARY AND TEMPLE THIEF: CHACHA CHAUDHARY COMICS,PRAN KUMAR SHARMA,English,₹227.74,557,4.3,46
Attack on Titan Vol. 1,Hajime Isayama,English,₹464.55,"5,067",4.7,203
Saraswati,,English,₹32.76,270,4.6,33
The Boys Vol. 1: The Name of the Game (Garth Ennis' The Boys),Garth Ennis,English,₹445.82,648,4.6,149
"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,English,14,"60,358",4.8,128
Hanuman (Amar Chitra Katha) (1),Anant Pai,English,₹32.76,426,4.6,32
Ms. Marvel Vol. 1: No Normal (Ms. Marvel Series),G. Willow Wilson,English,₹534.99,"1,553",4.5,120
Dashavatar,,English,₹49.00,588,4.6,90
CHACHA CHAUDHARY AND SABU'S CATAPULT: CHACHA CHAUDHARY,,English,₹280.00,150,4.5,49
Valmiki's Ramayana (10001),,English,₹70.00,682,4.6,96
Ganesha,,English,₹32.76,328,4.7,32
Tinkle Magazine No.598,Rajani Thindiath,English,₹42.00,69,4.5,64
,,English,1,92,4.9,0
Tinkle Double Digest No 153,,English,₹147.25,143,4.4,192
Tinkle Double Digest No 155,Rajani Thindiath,English,₹168.00,114,4.5,175
Archie Jumbo Comics Digest #331 (Archie Comics Double Digest),Archie Superstars,English,₹326.05,4,4.7,181
Introducing Artificial Intelligence: A Graphic Guide (Graphic Guides),Henry Brighton,English,₹174.91,76,4.2,0
Diary of a Wimpy Kid - Box of Books (Books 1 - 13 + DIY book),,English,1,162,4.7,2400
Betty & Veronica Jumbo Comics Digest #305 (Betty & Veronica Comics Double Digest),Archie Superstars,English,₹519.92,,Previous,181
Ms. Marvel Vol. 2: Generation Why (Ms. Marvel Series),G. Willow Wilson,English,₹613.09,490,4.7,134
Amazing Spider-Man Vol. 1: The Parker Luck,Dan Slott,English,₹891.45,271,4.4,148
Stories of Wisdom,,English,₹32.76,217,4.4,32
Tinkle Digest 17,,English,₹55.65,144,4.1,97
