name,author,language,price,ratings,stars,pages
System Design Interview – An Insider's Guide,Alex Xu,English,3,178,4.2,318
"Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles, Fifth Edition",Narasimha Karumanchi,English,₹449.00,503,4.3,0
"DESIGNING DATA INTENSIVE APPLICATIONS: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,English,2,"1,341",4.7,616
Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,English,2,"6,918",4.4,708
Data Structures And Algorithms Made Easy: Data Structures And Algorithmic Puzzles,Narasimha Karumanchi,English,₹449.00,"1,977",4.4,453
CareerCup Cracking The Pm Interview: How To Land A Product Manager Job In Technology,Gayle Laakmann McDowell,English,3,"1,842",4.5,366
Investonomy: The Stock Market Guide That Makes You Rich,,English,8,"1,013",4.3,256
Introducing Artificial Intelligence: A Graphic Guide (Graphic Guides),Henry Brighton,English,₹174.91,76,4.2,0
Python for Everybody: Exploring Data in Python 3,,English,2,"2,502",4.5,248
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,English,4,"3,890",4.5,304
The Lean Startup: How Constant Innovation Creates Radically Successful Businesses,Eric Ries,English,1,"7,757",4.5,336
"SUPERINTELLIGENCE: Paths, Dangers, Strategies",Nick Bostrom,English,2,"2,617",4.5,432
The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution SHORTLISTED FOR THE FT & MCKINSEY BUSINESS BOOK OF THE YEAR AWARD 2019,Gregory Zuckerman,English,3,"2,503",4.4,384
Data Structures and Algorithms Made Easy in JAVA: Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,English,₹449.00,997,4.3,450
"Head First Java: A Brain-Friendly Guide, Third Edition (Grayscale Indian Edition)",Trisha Gee,English,2,9,5.0,756
Clean Architecture: A Craftsman's Guide to Software Structure and Design (Robert C. Martin Series),,English,2,"1,993",4.7,432
The Man Eating Leopard of Rudraprayag,Jim Corbett,English,1,"1,159",4.6,184
"Mastering Html, Css & Javascript Web Publishing",,English,18,698,4.2,768
C In Depth,,English,19,"1,181",4.5,497
"Computer Hacking Beginners Guide: How to Hack Wireless Network, Basic Security and Penetration Testing, Kali Linux, Your First Hack",Alan T. Norman,English,₹223.00,502,4.1,167
"Introduction to Algorithms, 3Ed. (International Edition) (MIT Press)",,English,7,841,4.1,1312
PYTHON PROGRAMMING: USING PROBLEM SOLVING APPROACH,Reema Thareja,English,3,684,4.5,560
"Oswal - Gurukul Computer Applications Most Likely Question Bank For ICSE Class 10 (2023 Exam) - Categorywise & Chapterwise Topics, Latest Syllabus Pattern and Solved Papers",Oswal - Gurukul,English,5,14,3.9,256
Think Python: How to Think Like a Computer Scientist,,English,2,602,4.4,292
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications (Grayscale Indian Edition),Chip Huyen,English,2,21,4.9,388
Decode and Conquer: Answers to Product Management Interviews,Lewis C Lin,English,2,421,4.4,206
"HANDS ON MACHINE LEARNING WITH SCIKIT LEARN, KERAS & TENSORFLOW 2/ED UPDATED FOR TENSORFLOW 2 (FULL COLOUR EDITION)",,English,2,"1,010",4.6,848
The Lean Startup: How Constant Innovation Creates Radically Successful Businesses,Eric Ries,English,1,"7,757",4.5,304
,,English,2,"1,341",4.7,0
Visualizing Google Cloud: 101 Illustrated References for Cloud Engineers and Architects,Priyanka Vergadia,English,8,92,4.7,256
