name,author,language,price,ratings,stars,pages
I Wish I Could Tell Her (Pre-order now to get a signed copy),,,3,,Previous,208
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,English,21,"1,778",4.4,32
Steal Like An Artist: 10 Things Nobody Told You About Being Creative (Austin Kleon),Austin Kleon,English,1,"8,734",4.5,160
The Food Book,,English,41,297,4.4,180
The Gopi Diaries: Coming Home,,English,7,"2,857",4.7,104
Motivation- Colouring Book for Adults: Adult Colouring Book for Peace & Relaxation,Dreamland Publications,English,5,"1,953",4.5,32
"What I Love About You and Our Memories: A Fill-in-the-Blank Gift for Valentines Day, Birthday, Anniversary Gifts for Husband, Wife, Boyfriend and Girlfriend (english)",Sanjay D,English,1,"3,139",4.6,64
100 World’s Greatest Short Stories: Collectable Edition,,English,32,"1,233",4.3,568
Refreshing Mandala- Colouring Book for Adults Book 1,,English,1,"6,733",4.6,64
"What I Love About You and Our Memories: A Fill-in-the-Blank Gifts for Valentines Day, Birthday, Anniversary Gifts for Husband, Wife, Boyfriend and Girlfriend (english)",Sanjay D,English,1,"3,139",4.6,64
Madhuras Recipe - Combo pack of 2 - शाळेचा डबा - मोठी सुट्टी +छोटी सुट्टी - Marathi Edition,,Marathi,1,1,5.0,104
Patterns - Creative Doodle Colouring Book for Beginners and Adults,Dreamland Publications,English,1,"2,349",4.5,64
Rogi Swayam Chikitsak;Part 1 [Paperback] Vag Bhatt Ji,,Hindi,2,979,4.3,0
I CAME UPON A LIGHTHOUSE: A Short Memoir of Life with Ratan Tata,Shantanu Naidu,English,1,"1,488",4.7,232
Peaky Blinders: The Legacy - The real story of Britain's most notorious 1920s gangs: As seen on BBC's The Real Peaky Blinders,Carl Chinn,English,₹334.05,496,4.6,336
Cityscape- Colouring Book for Adults,,English,5,267,4.4,32
Brain Activity Book for Kids - 200+ Activities for Age 6+,Maple Press,,2,,Previous,48
A Thousand Kisses Deep,Novoneel Chakraborty,English,7,,Previous,256
A Taste of Well-Being: Sadhguru's Insights for Your Gastronomics,Isha Foundation,English,7,"2,819",4.4,218
Indian Superfoods: Change the Way You Eat,Rujuta Diwekar,English,8,"1,728",4.4,200
"Everyday Ayurveda: Daily Habits That Can Change Your Life. A book on Mental & Spiritual Healing. A guide to maximize health, longevity, & happiness naturally (Non-fiction, Penguin Books)",,English,10,"1,247",4.3,320
Madhuras Recipe - Shalecha Daba Chhoti Sutti (शाळेचा डबा छोटी सुट्टी) - Marathi Edition,,Marathi,1,1,5.0,52
Complete Book of Chess Strategy: Grandmaster Techniques from A to Z,Jeremy Silman,English,4,"1,163",4.6,350
वपुर्झा / VAPURZA: Leccion inagural del curso academico 1994-1995 (Marathi Edition),V. P. KALE,Marathi,₹118.12,519,4.6,266
Sudoku Puzzles – Book 1,,English,3,26,4.5,120
Wordsearch Challenge book 1: 200 themed wordsearch puzzles (Collins Wordsearches),Collins Puzzles,English,16,602,4.6,240
Fashion- Colouring Book for Adults: Adult Colouring Book for Peace & Relaxation,,English,8,928,4.5,32
"Sudoku Puzzle Game Book Volume 2: 200+ Easy, Medium, and Hard Large Print Puzzle Book For Adults - Brain Teasing Puzzles",,English,4,649,4.4,135
Essentially Mira: The Extraordinary Journey Behind Forest Essentials,Mira Kulkarni,English,35,32,4.9,244
Madhuras Recipe - Shalecha Daba Mothi Sutti (शाळेचा डबा मोठी सुट्टी) - Marathi Edition,,Marathi,1,,Previous,52
