name,author,language,price,ratings,stars,pages
It Ends With Us: A Novel: Volume 1,Colleen Hoover,English,18,"109,448",4.5,384
The Perfect Murder,Ruskin Bond,English,₹149.47,796,4.1,178
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,English,1,"115,189",4.5,352
The Magicians of Mazda,Ashwin Sanghi,English,57,528,4.5,492
The Girl Beyond the Gate: An absolutely unputdownable and gripping psychological thriller,Becca Day,English,₹236.31,"1,439",3.9,0
We Begin at the End: Crime Novel of the Year Award Winner 2021,Chris Whitaker,English,₹338.07,"16,385",4.4,385
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,English,7,"13,891",4.5,536
And Then There Were None: The World’s Favourite Agatha Christie Book: The World’s Favourite Agatha Christie Book,Agatha Christie,English,8,"20,839",4.6,256
The Sweetest Oblivion (Made Book 1),Danielle Lori,English,₹296.00,"18,344",4.5,386
One Small Mistake: An addictive and heart racing new thriller,Dandy Smith,English,₹236.31,"4,625",4.3,490
It ends with us with free Customize Bookmark,Colleen Hoover,English,1,11,2.6,300
The Adventures of Sherlock Holmes (AmazonClassics Edition),Arthur Conan Doyle,English,₹129.15,941,4.6,317
That Night: Four Friends. Twenty Years. One Haunting Secret.,Nidhi Upadhyay,English,21,"1,055",4.3,288
,,Tamil,₹52.50,924,4.4,0
The Perfect Daughter: An absolutely gripping psychological thriller you won't be able to put down,Alex Stone,English,₹68.25,"2,807",3.9,354
Blind Deal (Hindi Edition),Surender Mohan Pathak,Hindi,₹150.00,91,4.0,244
Dark Matter: The Most Mind-Blowing And Twisted Thriller Of The Year,Blake Crouch,English,2,"16,508",4.5,416
The Maddest Obsession (Made Book 2),Danielle Lori,English,₹275.00,"12,029",4.6,376
,,English,3,"47,574",4.6,0
Six of Crows: Book 1,Leigh Bardugo,English,15,"24,095",4.7,512
The Room in the Attic: The TOP 5 bestselling novel from Louise Douglas,Louise Douglas,English,₹77.70,"6,728",4.4,388
Gunah Belazzat (Hindi Edition),,Hindi,₹99.00,43,4.6,238
The Secret History: From the Pulitzer Prize-winning author of The Goldfinch,Donna Tartt,English,4,"11,249",4.4,640
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,English,1,"115,189",4.5,336
Turn a Blind Eye (William Warwick Novels Book 3),Jeffrey Archer,English,8,"12,598",4.4,385
The Perfect Murder,Ruskin Bond,English,₹149.47,796,4.1,175
"The Catch: From the million-copy Sunday Times bestselling author of THE HOLIDAY, now a major NETFLIX drama",T.M. Logan,English,₹281.64,"20,168",4.2,450
Murder on the Orient Express (Poirot),Agatha Christie,English,11,"11,661",4.6,288
இரட்டை குதிரை (Tamil Edition),,Tamil,,,Previous,37
And Then There Were None: The best-selling murder mystery of all time (Agatha Christie Collection),Agatha Christie,English,8,"20,839",4.6,0
