name,author,language,price,ratings,stars,pages
Harry Potter and the Philosopher's Stone,J.K. Rowling,English,₹119.00,"6,809",4.7,345
TINKLE DIGEST 1,,English,₹55.65,207,4.2,97
The Magicians of Mazda,Ashwin Sanghi,English,57,528,4.5,492
Ghosts of The Silent Hills: Stories based on true hauntings,Anita Krishan,English,10,"1,499",4.4,312
Dreadgod (Cradle Book 11),Will Wight,English,₹449.00,"1,483",4.9,504
TINKLE DOUBLE DIGEST 3,,English,₹94.50,122,4.4,177
TINKLE DOUBLE DIGEST 2,,English,₹94.50,83,4.6,176
Harry Potter Box Set: The Complete Collection (Set of 7 Volumes),J.K. Rowling,English,1,"44,614",4.7,3872
Suppandi Volume 8—Employee of the Year,Rajani Thindiath,English,₹29.00,250,4.3,73
Harry Potter and the Chamber of Secrets,J.K. Rowling,English,₹119.00,"37,726",4.7,373
SUPPANDI (VOL 2) : TINKLE COLLECTION (SUPPANDI : TINKLE COLLECTION),,English,₹98.70,679,4.4,96
Harry Potter and the Goblet of Fire,J.K. Rowling,English,₹299.00,"28,055",4.7,633
,,English,1,258,4.8,0
The Alchemist,Paulo Coelho,English,7,"85,733",4.6,178
"Before the Coffee Gets Cold: A Novel (Before the Coffee Gets Cold Series, 1)",Toshikazu Kawaguchi,English,2,"7,383",4.4,224
Black Holes: The Reith Lectures,Stephen Hawking,English,10,"5,243",4.5,80
,,,,,,0
Saraswati,,English,₹32.76,270,4.6,33
1984 (AmazonClassics Edition),George Orwell,English,₹69.00,"74,255",4.5,319
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,English,₹79.00,"31,141",4.7,480
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,English,₹222.30,"31,141",4.7,475
,,,,,,0
Harry Potter and the Chamber of Secrets (Harry Potter 2),J.K. Rowling,English,₹79.00,"37,726",4.7,384
The Magicians Of Mazda,Ashwin Sanghi,English,57,528,4.5,491
,,,,,,0
,,,,,,0
Harry Potter and the Deathly Hallows,J.K. Rowling,English,₹299.00,"32,435",4.7,313
,,,,,,0
,,,,,,0
எனது புன்னகையின் முகவரி (Enathu Punnakaiyin Mugavari) (Tamil Edition),Sandhiya  Sri,Tamil,₹280.00,27,4.2,339
