name,author,language,price,ratings,stars,pages
THE POWER OF YOUR SUBCONSCIOUS MIND,Joseph Murphy,English,₹29.00,"56,099",4.5,224
Atomic Habits: The life-changing million copy bestseller,James Clear,English,1,"50,615",4.6,288
Chanakya in You,Radhakrishnan Pillai,English,₹184.17,"1,815",4.5,287
The Psychology of Money,Morgan Housel,English,12,"40,701",4.6,252
Mindf**ked : When It’s 4 a.m. and You Can’t Stop Overthinking (Hinglish Edition),Anubhav Agrawal,English,12,1,5.0,240
How to Become a People Magnet: 62 Life-Changing Tips to Attract Everyone You Meet,Mark Reklau,English,₹149.10,322,4.4,145
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,English,17,"66,841",4.6,336
The Power of Your Subconscious Mind,Joseph Murphy,English,6,"56,099",4.5,232
,,English,1,"50,615",4.6,0
Ikigai: The Japanese secret to a long and happy life,Héctor García,English,18,"34,706",4.6,208
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,English,19,"16,201",4.6,232
"Dear Stranger, You Deserve To Be Loved (Pre-order now and get an author signed postcard)",Ashish Bagrecha,English,3,,Previous,264
,,English,12,"40,701",4.6,0
You Can,,English,1,984,4.5,232
MegaLiving: 30 Days To A Perfect Life,Robin Sharma,English,₹153.99,780,4.5,207
Introducing Psychology: A Graphic Guide (Graphic Guides),,English,₹153.32,539,4.3,0
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,English,11,"18,434",4.5,144
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,,English,1,"19,469",4.5,0
,,English,11,"6,942",4.4,0
,,English,1,"5,192",4.5,0
Living Your Best Life: The perfect feel-good romance from Maxine Morrey for 2022,Maxine Morrey,English,₹68.25,"1,447",4.2,353
DO EPIC SHIT,Ankur Warikoo,English,22,"5,150",4.5,312
"THINK STRAIGHT: Change Your Thoughts, Change Your Life",Darius Foroux,English,₹99.00,"4,094",4.3,101
Think And Grow Rich,Napoleon Hill,English,7,"72,927",4.5,240
Be Your Own Sunshine,James Allen,English,9,"1,420",4.3,160
Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,Hindi,12,"11,426",4.5,320
"The 5 A.M. Revolution: Why High Achievers Wake Up Early and How You Can Do It, Too",Dan Luca,English,₹188.10,630,4.3,192
The Power of Your Subconscious Mind,Joseph Murphy,English,6,"56,099",4.5,256
,,English,18,"34,706",4.6,0
,,English,4,"72,005",4.5,0
