name,author,language,price,ratings,stars,pages
Mindf**ked : When It’s 4 a.m. and You Can’t Stop Overthinking (Hinglish Edition),Anubhav Agrawal,English,12,1,5.0,240
"30 DAYS: Change your habits, Change your life",Marc Reklau,English,₹226.12,"1,612",4.3,230
PREGNANCY: The Complete Childbirth Book,Nutan Pandit,English,₹187.15,317,4.3,185
Ananda : Happiness Without Reason,Acharya Prashant,English,26,27,5.0,256
Eating in the Age of Dieting,Rujuta Diwekar,English,1,"2,390",4.6,328
"Tools of Titans: The Tactics, Routines and Habits of Billionaires, Icons and World-Class Performers",Timothy Ferriss,English,2,"7,032",4.5,702
How To Live Your Life,Ruskin Bond,English,44,80,4.5,124
ShrimadBhagavadGita Bhaag 1 / श्रीमद्भगवद्गीता भाग-१ By Acharya Prashant,Acharya Prashant,Hindi,1,146,4.9,270
ShrimadBhagavadGita Bhaag 1 / श्रीमद्भगवद्गीता भाग-१ + ShrimadBhagavadGita Bhaag 2 / श्रीमद्भगवद्गीता भाग-२ By Acharya Prashant ( Bhagvat Gita ),Acharya Prashant,Hindi,1,16,4.7,539
Welcome Home: A Guide to Building a Home For Your Soul,Najwa Zebian,English,18,"1,534",4.6,336
The Comfort Book,Matt Haig,English,7,"2,446",4.6,272
"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive",Kevin Horsley,English,₹149.00,"4,057",4.5,126
I Want to Die but I Want to Eat Tteokbokki: the South Korean hit therapy memoir recommended by BTS’s RM,Baek Sehee,English,17,12,4.0,208
Why Has Nobody Told Me This Before?: The No 1 Sunday Times bestseller,Dr Julie Smith,English,8,"3,230",4.7,368
Mrityu: Jaanen Ek Mahayogi Se (Hindi Translation of Bestselling Title Death by Sadhguru),Sadhguru,Hindi,40,915,4.7,340
The Magic Weight-Loss Pill: 62 Lifestyle Changes,Luke Coutinho,English,18,"1,145",4.4,219
"LOSE FAT, GET FITTR: THE SIMPLE SCIENCE OF STAYING HEALTHY FOR LIFE",Jitendra Chouksey,English,12,559,4.6,192
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,English,4,"19,168",4.5,672
Chemical Khichdi: How I Hacked My Mental Health,Aparna Piramal Raje,English,37,58,4.6,288
ಇಕಿಗಾಯ್ (Kannada) Ikigai: The Japanese Secret to a Long and Happy Life by Francesc Miralles and Hector Garcia,,Kannada,12,50,4.3,168
Yuktahaar: The Belly and Brain Diet,Munmun Ganeriwal,English,30,201,4.5,300
Making Excellence A Habit: The Secret to Building a World-Class Healthcare System in India,,English,22,267,4.6,240
"AWAKEN THE GIANT WITHIN: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Life",Anthony Robbins,English,5,"6,563",4.5,544
Nutritive Value of Indian Food (Course Book) [Paperback] C Gopalan,C Gopalan,English,14,150,4.3,0
SATTVIK COOKING: MODERN AVATARS OF VEDIC FOODS,Hansaji J. Yogendra,English,14,154,4.4,332
Don't Be Sad,,English,8,433,4.8,476
Yoga Anatomy,Leslie Kaminoff,English,2,"3,933",4.5,288
Mayo Clinic Guide to a Healthy Pregnancy: 2nd Edition: Fully Revised and Updated,,English,₹251.93,"2,713",4.8,520
Who Moved My Cheese?: An A-Mazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,English,7,"14,017",4.6,96
"The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness",,English,1,"12,619",4.6,368
