name,author,language,price,ratings,stars,pages
The Magicians of Mazda,Ashwin Sanghi,English,57,528,4.5,492
Inner Engineering: A Yogi’s Guide to Joy - English,Sadhguru,English,2,"15,898",4.6,300
To Kill a Mockingbrd: 60th Anniversary Edition,Harper Lee,English,4,"56,049",4.5,320
Train to Pakistan,Khushwant Singh,English,3,"3,691",4.5,192
,,Tamil,₹52.50,924,4.4,0
Pride and Prejudice (AmazonClassics Edition),Jane Austen,English,₹99.75,"30,261",4.5,276
The Magicians Of Mazda,Ashwin Sanghi,English,57,528,4.5,491
Ponniyin Selvan (All Parts) Kindle Edition: பொன்னியின் செல்வன் (Tamil Edition),,Tamil,,228,4.7,1458
Kafka on the Shore,,English,1,"5,198",4.5,512
Turn a Blind Eye (William Warwick Novels Book 3),Jeffrey Archer,English,8,"12,598",4.4,385
A Recipe for a Rogue (The Beautiful Barringtons Book 5),Kathleen Ayers,English,₹314.00,1,5.0,239
My Gita,Devdutt Pattanaik,English,9,"2,896",4.4,256
LAST QUEEN,Chitra Banerjee Divakaruni,English,9,"1,852",4.6,380
Ponniyin Selvan Kalki in Tamil,Kalki,Tamil,1,183,4.5,0
A Governess Should Never... Deny a Duke (The Governess Chronicles Book 2),Emily Windsor,English,₹199.00,1,4.0,324
Kalki's Ponniyin Selvan Part-1 to Part-5 Set (English) (Historical Novel),,English,5,110,4.8,2128
Ponniyin Selvan All 5 Parts,Kalki,Tamil,1,"2,618",4.5,0
Adhunik Bharat Ka Itihas by Spectrum 2019-20 Edition (Brief History of Modern India) (Hindi),,Hindi,2,"3,432",4.4,832
Kumarithuraivi: குமரித்துறைவி (Tamil Edition),Jeyamohan,Tamil,,51,4.6,224
The Tattooist of Auschwitz: the heartbreaking and unforgettable bestseller,Heather Morris,English,₹260.30,"51,324",4.6,293
Shivaji: The Great Maratha,Vikrant Pande,English,4,723,4.7,592
Made for the Marquess (Second Sons of London Book 4),Alexa Aston,English,₹316.00,,Previous,258
Seven Husbands of Evelyn Hugo: The Sunday Times Bestseller,Taylor Jenkins Reid,English,4,"88,865",4.5,398
Raavan: Enemy of Aryavarta (Ram Chandra Series - Book 3),,English,1,"10,034",4.6,400
Shriman Yogi (Marathi),Ranjeet Desai,Marathi,11,"2,163",4.8,1152
Splendours of Royal Mysore,Vikram Sampath,English,₹456.07,88,4.5,760
,,English,3,"14,544",4.6,0
10 Judgements that Changed India,,English,20,720,4.5,256
To Kill A Mockingbird,Harper Lee,English,4,"56,049",4.5,322
The Duke She Married (The Atwood Sisters Book 1),Jessie Clever,English,₹220.00,454,4.4,250
