name,author,language,price,ratings,stars,pages
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,English,1,"3,269",4.5,84
TINKLE DIGEST 1,,English,₹55.65,207,4.2,97
My Journey: Transforming Dreams into Actions,A.P.J. Abdul Kalam,English,₹103.48,"3,529",4.7,105
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,English,2,"11,083",4.6,140
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",,English,9,"7,399",4.6,192
,,English,1,"47,933",4.7,0
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",Mitch Albom,English,6,"16,298",4.6,208
101 Panchatantra Stories for Children: Colourful Illustrated Stories,,English,1,"6,693",4.5,64
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,,English,2,"7,122",4.5,448
India's Struggle for Independence: 1857-1947,Bipan Chandra,English,1,"7,102",4.5,600
Ready To Fire: How India and I Survived the ISRO Spy Case,,English,2,382,4.6,372
,,English,2,"52,353",4.5,0
TINKLE DOUBLE DIGEST 3,,English,₹94.50,122,4.4,177
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,,English,₹212.00,"11,130",4.5,848
Pride & Prejudice,Jane Austen,English,6,"30,261",4.5,328
,,English,3,"7,196",4.7,0
Why I am an Atheist and Other Works,Bhagat Singh,English,4,"5,006",4.6,136
The Diary of a Young Girl,Anne Frank,English,6,"26,702",4.6,328
TINKLE DOUBLE DIGEST 2,,English,₹94.50,83,4.6,176
WINGS OF FIRE: AUTOBIOGRAPHY OF ABDUL KALAM,A. P. J. Abdul Kalam,English,24,"12,697",4.6,180
Suppandi Volume 8—Employee of the Year,Rajani Thindiath,English,₹29.00,250,4.3,73
Do Different: The Untold Dhoni,,English,2,,Previous,256
Autobiography of a Yogi,Paramahansa Yogananda,English,2,"7,640",4.6,512
World's Greatest Leaders: Biographies of Inspirational Personalities For Kids,Wonder House Books,English,1,"2,405",4.3,160
SUPPANDI (VOL 2) : TINKLE COLLECTION (SUPPANDI : TINKLE COLLECTION),,English,₹98.70,679,4.4,96
Why I Killed Gandhi,Nathuram Vinayak  Godse,English,4,"3,381",4.1,17
A Brief History Of Time: From Big Bang To Black Holes,Stephen Hawking,English,1,"15,482",4.6,240
Saraswati,,English,₹32.76,270,4.6,33
World's Greatest Scientists & Inventors: Biographies of Inspirational Personalities For Kids,Wonder House Books,English,10,"1,527",4.5,160
Meditations,Marcus Aurelius,English,1,"2,756",4.4,228
