name,author,language,price,ratings,stars,pages
TINKLE DIGEST 1,,English,₹55.65,207,4.2,97
,,,,,,0
,,,,,,0
,,,,,,0
TINKLE DOUBLE DIGEST 2,,English,₹94.50,83,4.6,176
,,,,,,0
SUPPANDI (VOL 2) : TINKLE COLLECTION (SUPPANDI : TINKLE COLLECTION),,English,₹98.70,679,4.4,96
,,,,,,0
"Just The Way You Are: The TOP 10 bestselling, uplifting, feel-good read for 2022",Beth Moran,English,₹82.16,"3,493",4.4,378
Dashavatar,,English,₹49.00,588,4.6,90
,,English,3,"47,574",4.6,0
आज्ञाकारी बहु : अकेलेपन की वजह से बने अंतरंग संबंधों की रोमांचक कहानी । (Hindi Edition),,Hindi,₹99.00,14,4.3,14
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
सेल्स गर्ल : एक सेल्स गर्ल के मोहल्ले की गुड़िया बनने के कहानी । (Hindi Edition),,Hindi,₹99.00,4,4.1,16
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
"Anxious People: The No. 1 New York Times bestseller, now a Netflix TV Series",Fredrik Backman,English,3,"47,574",4.6,400
,,,,,,0
,,,,,,0
Tinkle Digest 13,,English,₹55.65,30,4.2,98
,,,,,,0
,,,,,,0
